;DEP;REG;LIBCOM;score_competence_administratives_region;score_competence_administratives_departement
27146;68;24;Conflans-sur-Loing;33.0;46.0
27147;68;24;Corbeilles;43.0;48.0
27148;68;24;Corquilleroy;47.0;43.0
27149;68;24;Cortrat;32.0;41.0
27150;68;24;Coudroy;37.0;51.0
27151;68;24;Coullons;38.0;52.0
27152;68;24;Coulmiers;35.0;28.0
27153;68;24;Courcelles;53.0;49.0
27154;68;24;Courcy-aux-Loges;40.0;45.0
27155;68;24;La Cour-Marigny;45.0;42.0
27156;68;24;Courtemaux;37.0;52.0
27157;68;24;Courtempierre;43.0;51.0
27158;68;24;Courtenay;35.0;49.0
27159;68;24;Cravant;42.0;20.0
27160;68;24;Crottes-en-Pithiverais;38.0;36.0
27161;68;24;Dadonville;40.0;47.0
27162;68;24;Dammarie-en-Puisaye;39.0;40.0
27163;68;24;Dammarie-sur-Loing;28.0;40.0
27164;68;24;Dampierre-en-Burly;53.0;46.0
27165;68;24;Darvoy;42.0;44.0
27166;68;24;Desmonts;36.0;57.0
27167;68;24;Dimancheville;37.0;46.0
27168;68;24;Donnery;36.0;48.0
27169;68;24;Dordives;43.0;42.0
27170;68;24;Douchy-Montcorbon;36.0;49.0
27171;68;24;Dry;36.0;52.0
27172;68;24;Échilleuses;49.0;33.0
27173;68;24;Égry;33.0;57.0
27174;68;24;Engenville;48.0;50.0
27175;68;24;Épieds-en-Beauce;42.0;47.0
27176;68;24;Erceville;40.0;41.0
27177;68;24;Ervauville;33.0;38.0
27178;68;24;Escrennes;45.0;50.0
27179;68;24;Escrignelles;24.0;37.0
27180;68;24;Estouy;48.0;43.0
27181;68;24;Faverelles;36.0;33.0
27182;68;24;Fay-aux-Loges;47.0;42.0
27183;68;24;Feins-en-Gâtinais;46.0;36.0
27184;68;24;Férolles;44.0;55.0
27185;68;24;Ferrières-en-Gâtinais;40.0;46.0
27186;68;24;La Ferté-Saint-Aubin;48.0;42.0
27187;68;24;Fleury-les-Aubrais;57.0;46.0
27188;68;24;Fontenay-sur-Loing;42.0;46.0
27189;68;24;Foucherolles;37.0;45.0
27190;68;24;Fréville-du-Gâtinais;36.0;41.0
27191;68;24;Gaubertin;42.0;44.0
27192;68;24;Gémigny;40.0;46.0
27193;68;24;Germigny-des-Prés;42.0;44.0
27194;68;24;Gidy;39.0;55.0
27195;68;24;Gien;52.0;50.0
27196;68;24;Girolles;35.0;35.0
27197;68;24;Givraines;47.0;43.0
27198;68;24;Gondreville;42.0;42.0
27199;68;24;Grangermont;53.0;51.0
27200;68;24;Greneville-en-Beauce;33.0;48.0
27201;68;24;Griselles;43.0;48.0
27202;68;24;Guigneville;37.0;46.0
27203;68;24;Guilly;41.0;67.0
27204;68;24;Gy-les-Nonains;48.0;41.0
27205;68;24;Huêtre;57.0;40.0
27206;68;24;Huisseau-sur-Mauves;36.0;58.0
27207;68;24;Ingrannes;32.0;37.0
27208;68;24;Ingré;50.0;32.0
27209;68;24;Intville-la-Guétard;58.0;54.0
27210;68;24;Isdes;40.0;51.0
27211;68;24;Jargeau;53.0;38.0
27212;68;24;Jouy-en-Pithiverais;43.0;48.0
27213;68;24;Jouy-le-Potier;41.0;45.0
27214;68;24;Juranville;41.0;47.0
27215;68;24;Laas;55.0;52.0
27216;68;24;Ladon;43.0;40.0
27217;68;24;Lailly-en-Val;39.0;36.0
27218;68;24;Langesse;34.0;45.0
27219;68;24;Léouville;47.0;44.0
27220;68;24;Ligny-le-Ribault;35.0;45.0
27221;68;24;Lion-en-Beauce;40.0;42.0
27222;68;24;Lion-en-Sullias;41.0;30.0
27223;68;24;Lombreuil;46.0;38.0
27224;68;24;Lorcy;29.0;42.0
27225;68;24;Lorris;34.0;40.0
27226;68;24;Loury;44.0;41.0
27227;68;24;Louzouer;32.0;50.0
27228;68;24;Le Malesherbois;48.0;50.0
27229;68;24;Marcilly-en-Villette;41.0;44.0
27230;68;24;Mardié;44.0;48.0
27231;68;24;Mareau-aux-Bois;39.0;46.0
27232;68;24;Mareau-aux-Prés;37.0;41.0
27233;68;24;Marigny-les-Usages;44.0;43.0
27234;68;24;Marsainvilliers;63.0;43.0
27235;68;24;Melleroy;41.0;48.0
27236;68;24;Ménestreau-en-Villette;48.0;50.0
27237;68;24;Mérinville;26.0;42.0
27238;68;24;Messas;47.0;38.0
27239;68;24;Meung-sur-Loire;53.0;37.0
27240;68;24;Mézières-lez-Cléry;38.0;48.0
27241;68;24;Mézières-en-Gâtinais;40.0;38.0
27242;68;24;Mignères;41.0;35.0
27243;68;24;Mignerette;54.0;30.0
27244;68;24;Montargis;58.0;51.0
27245;68;24;Montbarrois;42.0;49.0
27246;68;24;Montbouy;42.0;34.0
27247;68;24;Montcresson;44.0;51.0
27248;68;24;Montereau;32.0;46.0
27249;68;24;Montigny;43.0;42.0
27250;68;24;Montliard;57.0;34.0
27251;68;24;Mormant-sur-Vernisson;55.0;47.0
27252;68;24;Morville-en-Beauce;34.0;45.0
27253;68;24;Le Moulinet-sur-Solin;36.0;31.0
27254;68;24;Moulon;33.0;39.0
27255;68;24;Nancray-sur-Rimarde;39.0;45.0
27256;68;24;Nargis;43.0;49.0
27257;68;24;Nesploy;46.0;44.0
27258;68;24;Neuville-aux-Bois;50.0;37.0
27259;68;24;La Neuville-sur-Essonne;42.0;55.0
27260;68;24;Neuvy-en-Sullias;44.0;34.0
27261;68;24;Nevoy;44.0;53.0
27262;68;24;Nibelle;41.0;53.0
27263;68;24;Nogent-sur-Vernisson;58.0;47.0
27264;68;24;Noyers;41.0;39.0
27265;68;24;Oison;38.0;49.0
27266;68;24;Olivet;68.0;46.0
27267;68;24;Ondreville-sur-Essonne;43.0;49.0
27268;68;24;Orléans;80.0;44.0
27269;68;24;Ormes;47.0;57.0
27270;68;24;Orville;37.0;43.0
27271;68;24;Ousson-sur-Loire;42.0;39.0
27272;68;24;Oussoy-en-Gâtinais;49.0;39.0
27273;68;24;Outarville;39.0;54.0
27274;68;24;Ouvrouer-les-Champs;43.0;39.0
27275;68;24;Ouzouer-des-Champs;37.0;44.0
27276;68;24;Ouzouer-sous-Bellegarde;38.0;36.0
27277;68;24;Ouzouer-sur-Loire;49.0;43.0
27278;69;24;Ouzouer-sur-Trézée;39.0;33.0
27279;69;24;Pannecières;39.0;34.0
27280;69;24;Pannes;39.0;32.0
27281;69;24;Patay;50.0;26.0
27282;69;24;Paucourt;33.0;47.0
27283;69;24;Pers-en-Gâtinais;28.0;34.0
27284;69;24;Pierrefitte-ès-Bois;57.0;34.0
27285;69;24;Pithiviers;56.0;29.0
27286;69;24;Pithiviers-le-Vieil;42.0;36.0
27287;69;24;Poilly-lez-Gien;36.0;45.0
27288;69;24;Préfontaines;36.0;34.0
27289;69;24;Presnoy;50.0;33.0
27290;69;24;Pressigny-les-Pins;45.0;27.0
27291;69;24;Puiseaux;48.0;41.0
27292;69;24;Quiers-sur-Bézonde;44.0;44.0
27293;69;24;Ramoulu;43.0;34.0
27294;69;24;Rebréchien;40.0;35.0
27295;69;24;Rouvray-Sainte-Croix;58.0;42.0
27296;69;24;Rouvres-Saint-Jean;52.0;42.0
27297;69;24;Rozières-en-Beauce;46.0;37.0
27298;69;24;Rozoy-le-Vieil;35.0;35.0
27299;69;24;Ruan;40.0;29.0
27300;69;24;Saint-Aignan-le-Jaillard;37.0;32.0
27301;69;24;Saint-Ay;41.0;37.0
27302;69;24;Saint-Benoît-sur-Loire;40.0;37.0
27303;69;24;Saint-Brisson-sur-Loire;35.0;38.0
27304;69;24;Saint-Cyr-en-Val;40.0;50.0
27305;69;24;Saint-Denis-de-l'Hôtel;45.0;32.0
27306;69;24;Saint-Denis-en-Val;42.0;35.0
27307;69;24;Saint-Firmin-des-Bois;38.0;36.0
27308;69;24;Saint-Firmin-sur-Loire;30.0;34.0
27309;69;24;Saint-Florent;40.0;38.0
27310;69;24;Sainte-Geneviève-des-Bois;49.0;30.0
27311;69;24;Saint-Germain-des-Prés;41.0;32.0
27312;69;24;Saint-Gondon;36.0;32.0
27313;69;24;Saint-Hilaire-les-Andrésis;39.0;32.0
27314;69;24;Saint-Hilaire-Saint-Mesmin;52.0;39.0
27315;69;24;Saint-Hilaire-sur-Puiseaux;60.0;39.0
27316;69;24;Saint-Jean-de-Braye;56.0;31.0
27317;69;24;Saint-Jean-de-la-Ruelle;55.0;35.0
27318;69;24;Saint-Jean-le-Blanc;61.0;38.0
27319;69;24;Saint-Loup-de-Gonois;31.0;39.0
27320;69;24;Saint-Loup-des-Vignes;44.0;35.0
27321;69;24;Saint-Lyé-la-Forêt;40.0;28.0
