;DEP;REG;nom_commune;score_acces_interface_numerique_region;score_acces_interface_numerique_departement;score_competence_administratives_region;score_competence_administratives_departement
334;1;84;Saint-Maurice-de-Rémens;82.0;87.0;47.0;51.0
335;1;84;Saint-Nizier-le-Bouchoux;131.0;139.0;42.0;45.0
336;1;84;Saint-Nizier-le-Désert;71.0;75.0;44.0;48.0
337;1;84;Sainte-Olive;86.0;92.0;33.0;36.0
338;1;84;Saint-Paul-de-Varax;98.0;104.0;44.0;48.0
339;1;84;Saint-Rambert-en-Bugey;116.0;123.0;46.0;50.0
340;1;84;Saint-Rémy;105.0;111.0;40.0;43.0
341;1;84;Saint-Sorlin-en-Bugey;84.0;89.0;45.0;49.0
342;1;84;Saint-Sulpice;54.0;58.0;42.0;46.0
343;1;84;Saint-Trivier-de-Courtes;172.0;183.0;34.0;37.0
344;1;84;Saint-Trivier-sur-Moignans;102.0;109.0;52.0;57.0
345;1;84;Saint-Vulbas;99.0;104.0;41.0;45.0
346;1;84;Salavre;139.0;149.0;22.0;24.0
347;1;84;Samognat;71.0;76.0;37.0;40.0
348;1;84;Sandrans;61.0;65.0;40.0;43.0
349;1;84;Sault-Brénaz;133.0;141.0;41.0;45.0
350;1;84;Sauverny;75.0;81.0;40.0;44.0
351;1;84;Savigneux;70.0;74.0;45.0;49.0
352;1;84;Ségny;58.0;62.0;47.0;51.0
353;1;84;Seillonnaz;115.0;123.0;37.0;40.0
354;1;84;Sergy;53.0;57.0;36.0;39.0
355;1;84;Sermoyer;113.0;120.0;34.0;36.0
356;1;84;Serrières-de-Briord;111.0;118.0;47.0;51.0
357;1;84;Serrières-sur-Ain;133.0;142.0;25.0;27.0
358;1;84;Servas;84.0;88.0;50.0;54.0
359;1;84;Servignat;137.0;145.0;28.0;30.0
360;1;84;Seyssel;96.0;102.0;48.0;52.0
361;1;84;Simandre-sur-Suran;90.0;96.0;42.0;46.0
362;1;84;Sonthonnax-la-Montagne;56.0;60.0;45.0;49.0
363;1;84;Souclin;110.0;117.0;41.0;45.0
364;1;84;Sulignat;85.0;91.0;47.0;51.0
365;1;84;Surjoux;84.0;89.0;33.0;36.0
366;1;84;Sutrieu;137.0;147.0;28.0;30.0
367;1;84;Talissieu;122.0;129.0;36.0;39.0
368;1;84;Tenay;134.0;143.0;38.0;41.0
369;1;84;Thézillieu;124.0;133.0;25.0;27.0
370;1;84;Thil;69.0;74.0;45.0;49.0
371;1;84;Thoiry;54.0;58.0;43.0;47.0
372;1;84;Thoissey;157.0;166.0;55.0;60.0
373;1;84;Torcieu;92.0;97.0;45.0;49.0
374;1;84;Tossiat;86.0;93.0;33.0;35.0
375;1;84;Toussieux;54.0;58.0;46.0;50.0
376;1;84;Tramoyes;65.0;70.0;53.0;57.0
377;1;84;La Tranclière;100.0;107.0;36.0;39.0
378;1;84;Val-Revermont;86.0;92.0;41.0;45.0
379;1;84;Trévoux;90.0;95.0;52.0;56.0
380;1;84;Valeins;75.0;80.0;28.0;30.0
381;1;84;Vandeins;82.0;87.0;43.0;47.0
382;1;84;Varambon;84.0;89.0;40.0;44.0
383;1;84;Vaux-en-Bugey;84.0;90.0;38.0;42.0
384;1;84;Verjon;95.0;102.0;44.0;47.0
385;1;84;Vernoux;98.0;101.0;49.0;53.0
386;1;84;Versailleux;86.0;91.0;51.0;55.0
387;1;84;Versonnex;62.0;66.0;42.0;46.0
388;1;84;Vesancy;81.0;87.0;32.0;35.0
389;1;84;Vescours;121.0;127.0;30.0;32.0
390;1;84;Vésines;97.0;102.0;43.0;46.0
391;1;84;Vieu-d'Izenave;78.0;83.0;37.0;40.0
392;1;84;Vieu;117.0;126.0;27.0;29.0
393;1;84;Villars-les-Dombes;110.0;117.0;50.0;55.0
394;1;84;Villebois;88.0;93.0;38.0;42.0
395;1;84;Villemotier;66.0;70.0;37.0;40.0
396;1;84;Villeneuve;72.0;76.0;52.0;56.0
397;1;84;Villereversure;117.0;125.0;40.0;43.0
398;1;84;Villes;71.0;77.0;45.0;49.0
399;1;84;Villette-sur-Ain;87.0;91.0;44.0;47.0
400;1;84;Villieu-Loyes-Mollon;107.0;112.0;41.0;44.0
401;1;84;Viriat;96.0;102.0;44.0;48.0
402;1;84;Virieu-le-Grand;113.0;119.0;54.0;59.0
403;1;84;Virieu-le-Petit;141.0;149.0;41.0;44.0
404;1;84;Virignin;89.0;94.0;45.0;49.0
405;1;84;Vongnes;145.0;156.0;0.0;0.0
406;1;84;Vonnas;119.0;127.0;44.0;48.0
407;2;84;Abrest;106.0;90.0;36.0;56.0
408;2;84;Agonges;113.0;89.0;37.0;40.0
